episode,total_reward,win,epsilon,steps
909,-0.67,0,0.92,12
910,-0.74,0,0.92,19
911,-0.65,0,0.92,10
912,-0.54,0,0.919,6
913,-0.51,0,0.919,4
914,-0.59,0,0.919,11
915,-0.65,0,0.919,21
916,-0.6,0,0.919,8
917,-0.59,0,0.919,12
918,-0.55,0,0.919,4
919,-0.77,0,0.919,14
920,-0.53,0,0.919,7
921,-0.71,0,0.919,14
922,-0.62,0,0.919,8
923,-0.61,0,0.919,11
924,-0.77,0,0.918,24
925,-0.54,0,0.918,8
926,-0.5,0,0.918,9
927,-0.6,0,0.918,5
928,-0.6,0,0.918,13
929,-0.71,0,0.918,9
930,-0.66,0,0.918,9
931,-0.62,0,0.918,8
932,-0.53,0,0.918,9
933,-0.73,0,0.918,9
