episode,total_reward,win,epsilon,steps
393,1046.53,1,0.892,32
2076,1040.53,1,0.455,102
394,-3.15,0,0.892,30
395,-1051.76,0,0.892,16
396,-1051.61,0,0.892,11
397,-1054.13,0,0.891,38
2077,-1057.4,0,0.454,75
2078,-1050.65,0,0.454,5
398,-1055.01,0,0.891,36
399,-1051.93,0,0.891,18
2079,1047.07,1,0.454,38
400,-1052.11,0,0.89,21
2080,-1051.88,0,0.453,23
401,-1051.82,0,0.89,17
402,-1052.16,0,0.89,21
2081,-1051.95,0,0.453,30
403,-1051.03,0,0.89,18
2082,-1051.05,0,0.453,20
404,-1052.4,0,0.89,25
405,-1052.84,0,0.889,9
406,-1051.38,0,0.889,13
2083,-1052.89,0,0.453,29
407,-1052.42,0,0.889,22
408,-1051.59,0,0.889,14
2084,-1052.56,0,0.452,36
2085,-1050.83,0,0.452,8
409,-1052.4,0,0.889,25
2086,-1050.63,0,0.452,8
410,-1050.76,0,0.889,6
2087,-1051.23,0,0.452,13
411,-1056.02,0,0.888,22
2088,-1051.96,0,0.452,26
412,-1054.84,0,0.888,39
2089,-1052.17,0,0.451,27
413,-1052.52,0,0.888,27
2090,-1052.7,0,0.451,30
414,-1050.87,0,0.888,12
2091,1046.99,1,0.451,41
415,-1055.75,0,0.887,55
416,-1051.7,0,0.887,20
2092,-1053.69,0,0.45,39
417,-1052.12,0,0.887,17
418,-1050.45,0,0.887,5
419,-1052.61,0,0.886,31
2093,-1054.92,0,0.45,47
420,1043.64,1,0.886,51
421,-1051.59,0,0.885,14
2094,1044.31,1,0.449,54
422,-1052.43,0,0.885,28
2095,-1053.13,0,0.449,38
423,-1053.28,0,0.885,28
2096,-1051.38,0,0.449,13
424,-1052.4,0,0.885,20
2097,1044.07,1,0.448,63
425,-1055.64,0,0.884,44
2098,-1051.79,0,0.448,19
426,1045.8,1,0.884,35
2099,-1055.32,0,0.447,37
427,1045.81,1,0.884,34
428,-1051.2,0,0.883,10
2100,-1056.4,0,0.447,40
429,-1051.67,0,0.883,22
430,1049.76,1,0.883,4
2101,-1050.71,0,0.447,11
431,-1050.45,0,0.883,5
2102,-1052.76,0,0.447,26
432,-1052.99,0,0.883,29
