episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,win,epsilon
315,-112.61,1001,166.83,3,3,74,0,0,0.8542
316,-79.61,1001,166.83,3,2,78,1,0,0.8538
317,-1244.95,730,121.67,0,3,54,0,0,0.8534
318,-145.21,1001,166.83,3,3,72,0,0,0.853
319,-107.46,1001,166.83,3,3,77,0,0,0.8525
320,-115.96,1001,166.83,3,3,74,0,0,0.8521
321,-176.91,1001,166.83,1,2,73,1,0,0.8517
322,961.59,781,130.17,1,0,55,3,1,0.8513
323,-84.81,1001,166.83,3,2,75,1,0,0.8508
324,-114.41,1001,166.83,3,3,70,0,0,0.8504
325,-121.91,1001,166.83,3,3,71,0,0,0.85
326,-112.16,1001,166.83,1,1,69,2,0,0.8496
327,-166.46,1001,166.83,2,3,73,0,0,0.8491
328,-123.41,1001,166.83,3,3,76,0,0,0.8487
329,-114.56,1001,166.83,2,2,74,1,0,0.8483
330,-183.61,1001,166.83,2,3,75,0,0,0.8479
331,1127.27,168,28.0,3,0,14,3,1,0.8474
332,-160.96,1001,166.83,2,3,74,0,0,0.847
333,-174.06,1001,166.83,1,2,74,1,0,0.8466
334,-123.46,1001,166.83,2,2,81,1,0,0.8462
335,-125.91,1001,166.83,3,3,73,0,0,0.8457
336,1116.77,268,44.67,3,0,20,3,1,0.8453
337,1058.73,317,52.83,2,0,21,3,1,0.8449
338,-1148.25,300,50.0,0,2,22,1,0,0.8445
339,-126.11,1001,166.83,3,3,76,0,0,0.8441
340,-208.51,1001,166.83,1,3,71,0,0,0.8436
341,-165.61,1001,166.83,2,3,74,0,0,0.8432
342,-117.21,1001,166.83,3,3,78,0,0,0.8428
343,-117.81,1001,166.83,1,1,74,2,0,0.8424
344,-232.01,1001,166.83,1,3,74,0,0,0.8419
345,-174.96,1001,166.83,1,2,73,1,0,0.8415
346,-130.81,1001,166.83,3,3,75,0,0,0.8411
347,-1085.92,277,46.17,0,1,22,2,0,0.8407
348,1054.69,781,130.17,3,0,56,3,1,0.8403
349,-118.41,1001,166.83,3,3,73,0,0,0.8398
350,-128.86,1001,166.83,3,3,75,0,0,0.8394
351,-128.01,1001,166.83,3,3,69,0,0,0.839
352,-1268.78,943,157.17,0,3,69,0,0,0.8386
353,-185.01,1001,166.83,2,3,77,0,0,0.8382
354,-137.16,1001,166.83,2,2,73,1,0,0.8377
355,-120.26,1001,166.83,3,3,72,0,0,0.8373
356,-1072.48,168,28.0,0,1,15,2,0,0.8369
357,-72.91,1001,166.83,3,2,72,1,0,0.8365
358,-69.01,1001,166.83,3,2,75,1,0,0.8361
359,-129.86,1001,166.83,2,2,74,1,0,0.8357
360,-107.96,1001,166.83,3,3,74,0,0,0.8352
361,-133.06,1001,166.83,3,3,70,0,0,0.8348
362,-228.56,1001,166.83,1,3,73,0,0,0.8344
363,-174.11,1001,166.83,2,3,72,0,0,0.834
364,-125.01,1001,166.83,2,2,75,1,0,0.8336
365,-127.16,1001,166.83,3,3,75,0,0,0.8331
366,-66.71,1001,166.83,2,1,74,2,0,0.8327
367,-187.76,1001,166.83,2,3,75,0,0,0.8323
368,-26.21,1001,166.83,3,1,76,2,0,0.8319
369,-1178.66,241,40.17,0,3,19,0,0,0.8315
370,-76.61,1001,166.83,3,2,77,1,0,0.8311
371,-12.56,1001,166.83,3,1,73,2,0,0.8307
372,1118.59,266,44.33,3,0,18,3,1,0.8302
373,-170.06,1001,166.83,2,3,78,0,0,0.8298
374,-64.01,1001,166.83,2,1,75,2,0,0.8294
375,-1130.87,687,114.5,0,1,44,2,0,0.829
376,-208.06,1001,166.83,1,3,72,0,0,0.8286
377,-125.56,1001,166.83,3,3,78,0,0,0.8282
378,-76.01,1001,166.83,2,1,76,2,0,0.8277
379,955.72,838,139.67,1,0,62,3,1,0.8273
380,-125.26,1001,166.83,3,3,74,0,0,0.8269
381,-113.31,1001,166.83,2,2,73,1,0,0.8265
382,-175.56,1001,166.83,2,3,72,0,0,0.8261
383,-121.06,1001,166.83,3,3,74,0,0,0.8257
384,-60.21,1001,166.83,3,2,73,1,0,0.8253
385,-1264.6,955,159.17,0,3,77,0,0,0.8249
386,-183.96,1001,166.83,1,2,77,1,0,0.8244
387,-74.76,1001,166.83,3,2,70,1,0,0.824
388,-168.26,1001,166.83,2,3,76,0,0,0.8236
389,-128.41,1001,166.83,3,3,76,0,0,0.8232
390,-92.96,1001,166.83,3,2,75,1,0,0.8228
391,-67.76,1001,166.83,3,2,79,1,0,0.8224
392,-128.41,1001,166.83,3,3,73,0,0,0.822
393,-132.71,1001,166.83,3,3,71,0,0,0.8216
394,975.87,613,102.17,1,0,45,3,1,0.8212
395,-107.66,1001,166.83,3,3,74,0,0,0.8207
396,-1176.62,607,101.17,0,2,44,1,0,0.8203
397,959.25,935,155.83,2,0,67,3,1,0.8199
398,-126.71,1001,166.83,3,3,72,0,0,0.8195
399,-74.11,1001,166.83,3,2,71,1,0,0.8191
400,-110.36,1001,166.83,3,3,72,0,0,0.8187
401,994.23,437,72.83,1,0,33,3,1,0.8183
402,-1135.99,354,59.0,0,2,30,1,0,0.8179
403,-140.71,1001,166.83,3,3,72,0,0,0.8175
404,-233.56,1001,166.83,1,3,71,0,0,0.8171
405,-78.56,1001,166.83,3,2,78,1,0,0.8166
406,-134.46,1001,166.83,3,3,68,0,0,0.8162
407,-106.96,1001,166.83,3,3,70,0,0,0.8158
408,-126.06,1001,166.83,1,1,69,2,0,0.8154
409,-128.66,1001,166.83,3,3,73,0,0,0.815
410,-77.91,1001,166.83,3,2,74,1,0,0.8146
411,-122.76,1001,166.83,3,3,72,0,0,0.8142
412,-170.46,1001,166.83,2,3,74,0,0,0.8138
413,-232.41,1001,166.83,1,3,74,0,0,0.8134
414,-118.86,1001,166.83,3,3,71,0,0,0.813
415,-123.41,1001,166.83,2,2,73,1,0,0.8126
416,-113.61,1001,166.83,3,3,76,0,0,0.8122
417,-112.71,1001,166.83,3,3,77,0,0,0.8118
418,-65.91,1001,166.83,2,1,71,2,0,0.8114
